Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Dunston Checks In,Ken Kwapis,Jason Alexander,1996,5.4,54,PG,Adventure,88
Escape from Planet Earth,Cal Brunker,Brendan Fraser,2012,5.8,35,PG,Animation,89
How to Eat Fried Worms,Bob Dolman,Luke Benward,2006,5.3,56,PG,Comedy,84
That Darn Cat!,Robert Stevenson,Hayley Mills,1965,6.7,71,G,Comedy,116
Missing Link,Chris Butler,Hugh Jackman,2019,6.7,68,PG,Animation,93
Max Keeble's Big Move,Tim Hill,Alex D. Linz,2001,5.4,40,PG,Comedy,86
Pippi Longstocking,Olle Hellbom,Inger Nilsson,1969,7,57.1,G,Adventure,99
Black Beauty,Caroline Thompson,Sean Bean,1994,6.6,57.1,G,Adventure,88
Million Dollar Arm,Craig Gillespie,Jon Hamm,2014,7,56,PG,Biography,124
The Girl Who Leapt Through Time,Mamoru Hosoda,Riisa Naka,2006,7.7,66,TV-PG,Animation,98
Mars Needs Moms,Simon Wells,Seth Green,2011,5.4,49,PG,Animation,88
Little Women,Mervyn LeRoy,June Allyson,1949,7.2,61,Approved,Drama,122
G for Gap,Fei Long,Ge Hu,2024,7.2,57.1,PG,Comedy,100
The Forger,Lawrence Roeck,Lauren Bacall,2012,5.3,57.1,PG-13,Drama,94
The Last Mimzy,Robert Shaye,Joely Richardson,2007,6.2,59,PG,Action,90
The Secret of Kells,Tomm Moore,Evan McGuire,2009,7.5,81,Not Rated,Animation,75
Family Camp,Brian Cates,Tommy Woodard,2022,4.9,57.1,PG,Comedy,111
Black Beauty,Ashley Avis,Kate Winslet,2020,6.4,52,TV-PG,Drama,110
Veer-Zaara,Yash Chopra,Shah Rukh Khan,2004,7.8,67,Not Rated,Drama,192
Prom Pact,Anya Adams,Peyton Elizabeth Lee,2023,6.4,57.1,TV-14,Comedy,99
Peter Rabbit 2: The Runaway,Will Gluck,Rose Byrne,2021,6.2,43,PG,Animation,93
Dolphin Tale,Charles Martin Smith,Morgan Freeman,2011,6.8,64,PG,Drama,113
Old Dogs,Walt Becker,Robin Williams,2009,5.3,19,PG,Comedy,88
Parental Guidance,Andy Fickman,Billy Crystal,2012,6,36,PG,Comedy,105
Short Circuit 2,Kenneth Johnson,Fisher Stevens,1988,5.7,57.1,PG,Comedy,110
The Amazing Maurice,Toby Genkel,Hugh Laurie,2022,6.2,53,PG,Animation,93
Andre,George Miller,Tina Majorino,1994,5.7,57.1,PG,Adventure,94
Spencer's Mountain,Delmer Daves,Henry Fonda,1963,7,57.1,Approved,Drama,118
The 7th Voyage of Sinbad,Nathan Juran,Kerwin Mathews,1958,7,57.1,G,Action,88
A Cinderella Story: Starstruck,Charlotte Colbert,Bailee Madison,2021,5.5,57.1,PG,Comedy,100
