Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Hercules,Ron Clements,Tate Donovan,1997,7.3,74,G,Animation,93
Shrek 2,Andrew Adamson,Mike Myers,2004,7.3,75,PG,Animation,93
Annie,John Huston,Aileen Quinn,1982,6.6,39,PG,Comedy,127
Sing,Garth Jennings,Matthew McConaughey,2016,7.1,59,PG,Animation,108
Luca,Enrico Casarosa,Jacob Tremblay,2021,7.4,71,PG,Animation,95
Who Framed Roger Rabbit,Robert Zemeckis,Bob Hoskins,1988,7.7,83,PG,Animation,104
Incredibles 2,Brad Bird,Craig T. Nelson,2018,7.5,80,PG,Animation,118
Tomorrowland,Brad Bird,George Clooney,2015,6.4,60,PG,Action,130
Thelma the Unicorn,Jared Hess,Brittany Howard,2024,5.8,64,PG,Animation,93
Matilda,Danny DeVito,Danny DeVito,1996,7,72,PG,Comedy,102
Aladdin,Guy Ritchie,Will Smith,2019,6.9,53,PG,Adventure,128
Field of Dreams,Phil Alden Robinson,Kevin Costner,1989,7.5,57,PG,Drama,107
Angels in the Outfield,William Dear,Danny Glover,1994,6.2,44,PG,Comedy,102
Coraline,Henry Selick,Dakota Fanning,2009,7.7,80,PG,Animation,100
E.T. the Extra-Terrestrial,Steven Spielberg,Henry Thomas,1982,7.9,92,PG,Adventure,115
The NeverEnding Story,Wolfgang Petersen,Noah Hathaway,1984,7.3,46,PG,Adventure,102
The Princess Diaries,Garry Marshall,Julie Andrews,2001,6.4,52,G,Comedy,115
Puss in Boots: The Last Wish,Joel Crawford,Antonio Banderas,2022,7.8,73,PG,Animation,102
Minions: The Rise of Gru,Kyle Balda,Steve Carell,2022,6.5,56,PG,Animation,87
Cinderella,Kenneth Branagh,Lily James,2015,6.9,67,PG,Adventure,105
The Lego Movie,Phil Lord,Chris Pratt,2014,7.7,83,PG,Animation,100
Despicable Me 2,Pierre Coffin,Steve Carell,2013,7.3,62,PG,Animation,98
Soul,Pete Docter,Jamie Foxx,2020,8,83,PG,Animation,100
Scooby-Doo,Raja Gosnell,Matthew Lillard,2002,5.3,35,PG,Adventure,86
Home,Tim Johnson,Jim Parsons,2015,6.5,55,PG,Animation,94
Minions,Kyle Balda,Sandra Bullock,2015,6.4,56,PG,Animation,91
Beauty and the Beast,Bill Condon,Emma Watson,2017,7.1,65,PG,Adventure,129
Home Alone,Chris Columbus,Macaulay Culkin,1990,7.7,63,PG,Comedy,103
Tangled,Nathan Greno,Mandy Moore,2010,7.7,71,PG,Animation,100
Robot Dreams,Pablo Berger,Daniel Radcliffe,2023,7.6,87,Not Rated,Animation,103
Harry Potter and the Deathly Hallows: Part 1,David Yates,Daniel Radcliffe,2010,7.7,65,PG-13,Adventure,146
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Tilda Swinton,2005,6.9,75,PG,Adventure,143
Popeye,Robert Altman,Robin Williams,1980,5.4,64,PG,Adventure,114
The Sound of Music,Robert Wise,Julie Andrews,1965,8.1,63,G,Biography,172
WALL·E,Andrew Stanton,Ben Burtt,2008,8.4,95,G,Animation,98
Stardust,Matthew Vaughn,Charlie Cox,2007,7.6,66,PG-13,Adventure,127
Harry Potter and the Chamber of Secrets,Chris Columbus,Daniel Radcliffe,2002,7.4,63,PG,Adventure,161
Spider-Man: Into the Spider-Verse,Bob Persichetti,Shameik Moore,2018,8.4,87,PG,Animation,117
The Lion King,Jon Favreau,Donald Glover,2019,6.8,55,PG,Animation,118
Charlie and the Chocolate Factory,Tim Burton,Johnny Depp,2005,6.7,72,PG,Adventure,115
Frozen,Chris Buck,Kristen Bell,2013,7.4,75,PG,Animation,102
The Wizard of Oz,Victor Fleming,Judy Garland,1939,8.1,92,G,Adventure,102
Finding Nemo,Andrew Stanton,Albert Brooks,2003,8.2,90,G,Animation,100
Howl's Moving Castle,Hayao Miyazaki,Chieko Baishô,2004,8.2,82,PG,Animation,119
"Monsters, Inc.",Pete Docter,Billy Crystal,2001,8.1,79,G,Animation,92
Labyrinth,Jim Henson,David Bowie,1986,7.3,50,PG,Adventure,101
Willy Wonka & the Chocolate Factory,Mel Stuart,Gene Wilder,1971,7.8,67,G,Adventure,100
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Daniel Radcliffe,2004,7.9,82,PG,Adventure,142
Night at the Museum,Shawn Levy,Ben Stiller,2006,6.5,48,PG,Adventure,108
Zootopia,Byron Howard,Ginnifer Goodwin,2016,8,78,PG,Animation,108
Unsung Hero,Richard L. Ramsey,Daisy Betts,2024,7.1,46,PG,Drama,113
Trolls Band Together,Walt Dohrn,Anna Kendrick,2023,6,53,PG,Animation,91
Teenage Mutant Ninja Turtles: Mutant Mayhem,Jeff Rowe,Micah Abbey,2023,7.2,74,PG,Animation,99
Harry Potter and the Deathly Hallows: Part 2,David Yates,Daniel Radcliffe,2011,8.1,85,PG-13,Adventure,130
Encanto,Jared Bush,Stephanie Beatriz,2021,7.2,75,PG,Animation,102
Kung Fu Panda,Mark Osborne,Jack Black,2008,7.6,74,PG,Animation,92
Toy Story,John Lasseter,Tom Hanks,1995,8.3,96,G,Animation,81
Sing 2,Garth Jennings,Matthew McConaughey,2021,7.3,49,PG,Animation,110
The Bad News Bears,Michael Ritchie,Walter Matthau,1976,7.3,84,PG,Comedy,102
The Incredibles,Brad Bird,Craig T. Nelson,2004,8,90,PG,Animation,115
Despicable Me 3,Kyle Balda,Steve Carell,2017,6.2,49,PG,Animation,89
The Little Mermaid,Rob Marshall,Halle Bailey,2023,7.2,59,PG,Adventure,135
Shrek,Andrew Adamson,Mike Myers,2001,7.9,84,PG,Animation,90
The Lego Batman Movie,Chris McKay,Will Arnett,2017,7.3,75,PG,Animation,104
Jumanji,Joe Johnston,Robin Williams,1995,7.1,39,PG,Adventure,104
Harry Potter and the Goblet of Fire,Mike Newell,Daniel Radcliffe,2005,7.7,81,PG-13,Adventure,157
Coco,Lee Unkrich,Anthony Gonzalez,2017,8.4,81,PG,Animation,105
Moana,Ron Clements,Auli'i Cravalho,2016,7.6,81,PG,Animation,107
The Karate Kid,John G. Avildsen,Ralph Macchio,1984,7.3,60,PG,Action,126
The Parent Trap,Nancy Meyers,Lindsay Lohan,1998,6.7,63,PG,Adventure,128
Migration,Benjamin Renner,Kumail Nanjiani,2023,6.7,56,PG,Animation,83
Cars,John Lasseter,Owen Wilson,2006,7.2,73,G,Animation,116
Elemental,Peter Sohn,Leah Lewis,2023,7,58,PG,Animation,101
Spirited Away,Hayao Miyazaki,Daveigh Chase,2001,8.6,96,PG,Animation,125
Ratatouille,Brad Bird,Brad Garrett,2007,8.1,96,G,Animation,111
Despicable Me,Pierre Coffin,Steve Carell,2010,7.6,72,PG,Animation,95
The Super Mario Bros. Movie,Aaron Horvath,Chris Pratt,2023,7,46,PG,Animation,92
Up,Pete Docter,Edward Asner,2009,8.3,88,PG,Animation,96
Freaky Friday,Mark Waters,Jamie Lee Curtis,2003,6.3,70,PG,Comedy,97
The Sandlot,David Mickey Evans,Tom Guiry,1993,7.8,55,PG,Comedy,101
Wish,Chris Buck,Ariana DeBose,2023,5.6,47,PG,Animation,95
The Goonies,Richard Donner,Sean Astin,1985,7.7,62,PG,Adventure,114
Wonder,Stephen Chbosky,Jacob Tremblay,2017,7.9,66,PG,Drama,113
The Princess Bride,Rob Reiner,Cary Elwes,1987,8,78,PG,Adventure,98
Wonka,Paul King,Timothée Chalamet,2023,7,66,PG,Adventure,116
The Lion King,Roger Allers,Matthew Broderick,1994,8.5,88,G,Animation,88
Harry Potter and the Sorcerer's Stone,Chris Columbus,Daniel Radcliffe,2001,7.6,65,PG,Adventure,152
The Garfield Movie,Mark Dindal,Chris Pratt,2024,5.8,31,PG,Animation,101
Ultraman: Rising,Shannon Tindle,Christopher Sean,2024,7,66,PG,Animation,117
Kung Fu Panda 4,Mike Mitchell,Jack Black,2024,6.3,54,PG,Animation,94
The Boy and the Heron,Hayao Miyazaki,Soma Santoki,2023,7.5,91,PG-13,Animation,124
Despicable Me 4,Chris Renaud,Steve Carell,2024,6.3,50,PG,Animation,95
Inside Out,Pete Docter,Amy Poehler,2015,8.1,94,PG,Animation,95
IF,John Krasinski,Cailey Fleming,2024,6.5,46,PG,Animation,104
Inside Out 2,Kelsey Mann,Amy Poehler,2024,7.9,73,PG,Animation,96
